Slug,Ingredient Name,Also Called,Functions,Description,Jenis Kulit Cocok
collagen-amino-acids,Collagen Amino Acids,,"skin-identical ingredient, moisturizer/humectant","Collagen Amino Acids adalah campuran asam amino yang diperoleh melalui pemecahan (hidrolisis) molekul kolagen. Sebagai bahan yang identik dengan kulit (skin-identical ingredient), bahan ini merupakan bagian dari Natural Moisturizing Factors (NMF) yang berfungsi untuk menjaga hidrasi, elastisitas, dan kelembutan lapisan luar kulit. Karena memiliki berat molekul yang rendah, asam amino ini dapat meresap ke lapisan atas kulit untuk mengikat kelembapan dan memperkuat sawar kulit (skin barrier). Dalam produk perawatan rambut, bahan ini juga digunakan untuk meningkatkan kilau, tekstur, dan kemudahan rambut untuk diatur.",Normal
colloidal-oatmeal,Colloidal Oatmeal,,"soothing, antioxidant, emollient, abrasive/scrub, absorbent/mattifier","Colloidal Oatmeal adalah bahan alami yang dibuat dengan menggiling biji gandum (Avena sativa) menjadi bubuk halus yang dapat larut dalam air. Dikenal luas karena sifat penenangnya (soothing), bahan ini berfungsi sebagai pelindung kulit (skin protectant) yang efektif untuk meredakan gatal, kemerahan, dan iritasi akibat kondisi seperti eksim, psoriasis, serta sengatan matahari. Kaya akan lipid, protein, dan antioksidan unik bernama avenanthramides, bahan ini bekerja dengan membentuk lapisan pelindung pada permukaan kulit untuk mengunci kelembapan, memperkuat sawar kulit (skin barrier), dan menjaga keseimbangan pH alami kulit. Berkat kemampuannya yang lembut namun efektif, Colloidal Oatmeal sering digunakan dalam produk bayi, pelembap untuk kulit sensitif, dan campuran air mandi untuk memberikan hidrasi serta kenyamanan instan pada kulit yang kering dan stres.",Sensitif
commiphora-myrrha-resin-extract,Commiphora Myrrha Resin Extract,Myrrh,antimicrobial/antibacterial,"Commiphora Myrrha Resin Extract, atau yang lebih dikenal sebagai Myrrh (Kemenyan Arab), adalah getah alami yang diekstrak dari pohon berduri genus Commiphora yang tumbuh di Afrika Timur dan Arab. Dalam perawatan kulit, bahan ini dihargai karena sifat antimikroba, antiseptik, dan anti-inflamasinya yang kuat, sehingga efektif untuk membersihkan kulit, meredakan iritasi, serta merawat kulit yang rentan berjerawat. Selain kemampuannya dalam mempercepat penyembuhan luka, ekstrak ini kaya akan antioksidan yang membantu melawan radikal bebas, mencegah tanda-tanda penuaan dini seperti garis halus, dan memperkuat sawar kulit (skin barrier) agar kulit tetap kencang dan lembap. Bahan ini sering digunakan dalam berbagai produk seperti pembersih, krim, dan losion, serta sangat populer dalam industri parfum karena aroma rempahnya yang khas.",Normal
copernicia-cerifera-wax,Copernicia Cerifera Wax,Carnauba Wax,emollient,"Copernicia Cerifera Wax, yang lebih dikenal sebagai Carnauba Wax atau lilin Brasil, adalah lilin nabati alami yang diekstrak dari daun pohon palem Copernicia cerifera. Dikenal sebagai lilin alami terkeras dengan titik leleh yang tinggi, bahan ini berfungsi utama sebagai emolien, pengental, dan agen pembentuk lapisan (film-former) dalam berbagai produk kosmetik. Carnauba Wax bekerja dengan membentuk lapisan pelindung yang halus dan berkilau di atas permukaan kulit atau rambut untuk mengunci kelembapan, mencegah dehidrasi, serta memberikan ketahanan terhadap air dan panas. Karena kemampuannya dalam memberikan struktur, stabilitas, dan efek kilau (glossy), bahan ini menjadi komponen penting dalam produk stik seperti lipstik dan lip balm, serta sangat efektif dalam maskara untuk menambah volume dan mencegah luntur. Selain itu, bahan ini bersifat non-komedogenik dan ramah vegan, menjadikannya alternatif alami yang populer untuk meningkatkan tekstur serta daya tahan produk riasan dan perawatan pribadi.",Normal
copper-chlorophyll,Copper Chlorophyll,,colorant,"Copper Chlorophyll, yang juga dikenal sebagai Chlorophyllin-Copper Complex, adalah turunan dari klorofil alami di mana atom magnesium digantikan oleh tembaga untuk meningkatkan stabilitas dan intensitas warna. Dalam produk perawatan kulit, bahan ini berfungsi utama sebagai pewarna alami (colorant) yang memberikan rona hijau yang hidup dan tahan lama. Selain aspek estetika, bahan ini memiliki sifat antioksidan yang kuat untuk melindungi kulit dari radikal bebas, efek menenangkan (soothing) untuk meredakan iritasi, serta kemampuan deodoran alami. Karena stabilitasnya terhadap cahaya dan panas, bahan ini sering digunakan dalam berbagai formulasi kosmetik dan perawatan diri sebagai alternatif yang lebih aman dibandingkan pewarna sintetis.",Normal
copper-gluconate,Copper Gluconate,,soothing,"Copper Gluconate adalah garam tembaga dari asam D-glukonat yang berfungsi sebagai agen penenang (soothing), pengkondisi kulit, dan pelindung kulit dalam produk kosmetik. Bahan ini dikenal karena kemampuannya dalam mendukung regenerasi sel dan mempercepat proses penyembuhan luka, sering kali bekerja secara sinergis dengan zinc gluconate. Selain manfaat pemulihannya, tembaga berperan sebagai kofaktor penting bagi enzim antioksidan superoksida dismutase yang menangkal radikal bebas, serta enzim tirosinase yang terlibat dalam stimulasi melanin. Penggunaan bagian glukonat dalam senyawa ini membantu meningkatkan bioavailabilitas tembaga agar dapat terserap lebih optimal oleh kulit untuk menjaga kesehatan dan struktur jaringan.",Normal
copper-lysinate-prolinate,Copper Lysinate/​Prolinate,,cell-communicating ingredient,"Copper Lysinate/Prolinate, yang sering dikenal sebagai bagian dari kompleks Neodermyl, adalah kompleks asam amino dan mineral esensial yang dirancang untuk memberikan manfaat anti-penuaan yang signifikan. Bahan ini bekerja dengan menyalurkan energi ke sel-sel kulit (fibroblas) untuk merangsang produksi kolagen tipe I, kolagen tipe III, dan elastin secara alami. Dengan meningkatkan kepadatan dan kekencangan kulit, bahan ini sangat efektif dalam mengurangi tampilan garis halus serta kerutan dalam waktu yang relatif singkat, sekaligus menjaga kondisi kulit tetap optimal.",Normal
copper-palmitoyl-heptapeptide-14,Copper Palmitoyl Heptapeptide-14,Part of X50 Antiaging,cell-communicating ingredient,"Copper Palmitoyl Heptapeptide-14 adalah peptida inovatif yang merupakan komponen utama dalam teknologi X50 Antiaging dengan sistem pengiriman Cosmetic Drone. Bahan ini bekerja secara spesifik dengan menargetkan sel fibroblast di lapisan dermis untuk merangsang ekspresi gen kolagen dan elastin, dua protein penting yang menjaga kekencangan dan elastisitas kulit. Melalui mekanisme penghantaran yang presisi, bahan ini terbukti secara klinis mampu mengurangi tampilan kerutan secara signifikan dan meningkatkan kekenyalan kulit meski digunakan dalam konsentrasi yang sangat rendah. Selain manfaat anti-penuaan, peptida tembaga ini juga memiliki sifat anti-inflamasi dan antioksidan yang membantu melindungi kulit dari kerusakan lingkungan serta mempercepat regenerasi jaringan kulit yang sehat.",Normal
copper-tripeptide-1,Copper Tripeptide-1,"GHK-Cu, Copper Peptide","cell-communicating ingredient, soothing, antioxidant","Copper Tripeptide-1, yang dikenal sebagai GHK-Cu, adalah kompleks peptida alami yang terdiri dari tiga asam amino (glisin, histidin, dan lisin) yang berikatan dengan ion tembaga. Bahan ini ditemukan secara alami dalam plasma manusia dan dikenal karena kemampuan regeneratifnya yang luar biasa dalam mempercepat penyembuhan luka serta memperbaiki jaringan yang rusak. Dalam perawatan kulit, bahan ini berfungsi sebagai bahan komunikasi sel (cell-communicating ingredient) yang merangsang produksi kolagen, elastin, dan glikosaminoglikan untuk meningkatkan kekencangan, elastisitas, dan mengurangi kerutan. Selain itu, Copper Tripeptide-1 memiliki sifat anti-inflamasi dan antioksidan yang kuat untuk menenangkan kulit sensitif serta melindungi sel dari kerusakan oksidatif, sekaligus bermanfaat dalam merangsang pertumbuhan dan ketebalan rambut.",Normal
coptis-japonica-root-extract,Coptis Japonica Root Extract,Japanese Goldthread Root Extract,"soothing, antioxidant","Coptis Japonica Root Extract, yang juga dikenal sebagai Japanese Goldthread, adalah ekstrak botani tradisional dari Jepang yang kaya akan alkaloid aktif seperti berberine. Dalam perawatan kulit, bahan ini berfungsi sebagai antioksidan kuat yang melindungi kulit dari kerusakan akibat radikal bebas dan penuaan dini, serta memiliki sifat anti-inflamasi yang sangat efektif untuk menenangkan kulit sensitif atau kemerahan. Selain itu, ekstrak ini juga dikenal karena kemampuan antimikrobanya yang membantu menjaga kesehatan kulit bermasalah dan kemampuannya dalam menghidrasi serta memperkuat sawar pelindung kulit (skin barrier).",Normal
corylus-avellana-seed-oil,Corylus Avellana  Seed Oil,Hazelnut oil,emollient,"Corylus Avellana Seed Oil, yang lebih dikenal sebagai Minyak Hazelnut, adalah minyak nabati yang diekstrak dari biji pohon hazelnut melalui proses cold pressing. Dalam perawatan kulit, bahan ini berfungsi sebagai emolien yang sangat efektif karena kaya akan asam lemak esensial seperti asam oleat (Omega-9) dan asam linoleat (Omega-6), serta vitamin E yang bertindak sebagai antioksidan. Minyak ini memiliki tekstur yang ringan, cepat menyerap, dan tidak meninggalkan rasa lengket, sehingga sering dijuluki sebagai dry oil. Selain melembapkan dan menutrisi, Minyak Hazelnut juga memiliki sifat astringen alami yang membantu menyeimbangkan produksi sebum dan mengecilkan pori-pori, menjadikannya pilihan yang baik untuk jenis kulit berminyak, berjerawat, maupun sensitif.",Normal
coumarin,Coumarin,,perfuming,"Coumarin adalah senyawa organik alami yang ditemukan dalam berbagai tanaman seperti kacang tonka, kayu manis, dan semanggi manis, namun kini lebih sering diproduksi secara sintetis untuk menjaga kemurniannya. Dalam industri kosmetik dan perawatan kulit, bahan ini sangat populer sebagai agen pewangi (perfuming) yang memberikan aroma manis dan hangat menyerupai vanila atau jerami segar, serta berfungsi sebagai fiksatif untuk menjaga ketahanan aroma produk lainnya. Selain aspek aromatiknya, Coumarin juga dikenal memiliki sifat antioksidan, anti-inflamasi, dan antibakteri yang dapat membantu menenangkan kulit serta melindungi formula produk dari kerusakan oksidatif. Meskipun memiliki berbagai manfaat fungsional, Coumarin termasuk dalam daftar alergen yang diatur secara ketat, sehingga penggunaannya dalam produk perawatan tubuh harus mematuhi batasan konsentrasi tertentu untuk meminimalkan risiko sensitivitas atau reaksi alergi pada kulit.",Normal
crambe-abyssinica-seed-oil,Crambe Abyssinica Seed Oil,Crambe Oil,emollient,"Crambe Abyssinica Seed Oil, juga dikenal sebagai Minyak Abyssinian, adalah minyak nabati ringan yang diekstrak dari biji tanaman Crambe abyssinica yang berasal dari dataran tinggi Ethiopia. Berfungsi utama sebagai emolien, minyak ini memiliki struktur molekul unik dengan kandungan asam erusat (omega-9) yang sangat tinggi, memberikan tekstur beludru yang halus dan kemampuan menyebar yang luar biasa mirip dengan silikon tanpa rasa lengket. Dalam perawatan kulit, bahan ini membantu memperkuat sawar kulit (skin barrier) dan mengunci kelembapan, sementara dalam perawatan rambut, ia efektif untuk menambah kilau, mengurai kekusutan, serta melindungi batang rambut dari kerusakan.",Normal
cucumis-sativus-fruit-extract,Cucumis Sativus Fruit Extract,Cucumber Fruit Extract,"soothing, emollient","Cucumis Sativus (Cucumber) Fruit Extract, yang lebih dikenal sebagai ekstrak mentimun, adalah bahan alami populer yang terdiri dari sekitar 95% air dan kaya akan nutrisi seperti vitamin C, vitamin K, mineral silika, serta antioksidan flavonoid. Dalam perawatan kulit, ekstrak ini berfungsi sebagai penyegar dan penenang (soothing) yang sangat efektif untuk meredakan iritasi, kemerahan, dan pembengkakan, terutama di area sekitar mata. Selain memberikan hidrasi mendalam tanpa rasa lengket, kandungan asam fenolik dan peroksidanya membantu mencerahkan kompleksi wajah serta mengecilkan pori-pori melalui efek astringen alaminya. Bahan ini sangat lembut dan cocok untuk semua jenis kulit, termasuk kulit sensitif, karena mampu memperkuat sawar kulit (skin barrier) sekaligus memberikan sensasi dingin yang menyegarkan.",Normal
cucumis-sativus-seed-oil,Cucumis Sativus Seed Oil,Cucumber Oil,emollient,"Cucumis Sativus (Cucumber) Seed Oil, atau dikenal sebagai minyak biji mentimun, adalah minyak nabati ringan yang diekstrak melalui proses cold-pressing untuk menjaga kekayaan nutrisinya. Berfungsi utama sebagai emolien, minyak ini sangat kaya akan asam linoleat (omega-6), fitosterol, dan vitamin E yang bekerja efektif untuk memperkuat sawar kulit (skin barrier), menjaga elastisitas, serta memberikan hidrasi mendalam tanpa rasa lengket. Karena memiliki sifat anti-inflamasi dan menenangkan yang luar biasa, bahan ini sering digunakan untuk meredakan kemerahan, mengatasi iritasi pada kulit sensitif atau berjerawat, serta mengurangi tampilan kantung mata dan lingkaran hitam. Teksturnya yang cepat meresap menjadikannya pilihan ideal untuk menutrisi kulit dewasa, memperbaiki tekstur yang kasar, dan melindungi kulit dari kerusakan akibat radikal bebas maupun paparan sinar matahari. Selain untuk perawatan wajah, minyak ini juga bermanfaat dalam perawatan rambut dan kulit kepala untuk meningkatkan kilau serta meredakan kekeringan.",Normal
curculigo-orchioides-root-extract,Curculigo Orchioides Root Extract,"Curculigo Root Extract, Golden Eye-Grass Root Extract",soothing,"Curculigo Orchioides Root Extract, yang juga dikenal sebagai Golden Eye-Grass atau Kali Musli, adalah ekstrak botani tradisional yang berasal dari hutan tropis Asia. Dalam perawatan kulit, bahan ini sangat dihargai karena kemampuannya yang luar biasa dalam menenangkan kulit sensitif dan reaktif dengan cara mengatur mekanisme kontrol pH alami kulit. Kaya akan gula dan glikosida fenolik seperti curculigoside, ekstrak ini membantu memperbaiki fungsi sawar kulit (skin barrier), meningkatkan ketahanan terhadap iritasi eksternal, dan memberikan manfaat antioksidan untuk melindungi kulit dari kerusakan lingkungan. Selain sifat penenangnya, bahan ini sering digunakan dalam formulasi produk bayi, produk pasca-cukur, dan perawatan kulit kepala sensitif karena kelembutan serta efektivitasnya dalam menjaga kesehatan kulit yang rapuh.",Sensitif
curcuma-longa-root-extract,Curcuma Longa Root Extract,Turmeric Root Extract,"antioxidant, soothing, skin brightening, perfuming","Curcuma Longa Root Extract, yang lebih dikenal sebagai ekstrak akar kunyit, adalah bahan alami yang kaya akan senyawa kurkuminoid, terutama kurkumin. Dalam perawatan kulit, bahan ini sangat dihargai karena sifat anti-inflamasi dan penenangnya yang kuat, sehingga efektif untuk meredakan kemerahan serta iritasi pada kulit sensitif. Selain manfaat menenangkan, ekstrak ini berfungsi sebagai antioksidan yang melindungi kulit dari kerusakan radikal bebas dan membantu mencerahkan noda hitam serta meratakan warna kulit. Karena kemampuannya dalam meningkatkan elastisitas dan menghaluskan tekstur, kunyit juga sering digunakan dalam formula anti-aging untuk menyamarkan garis halus dan memberikan efek bercahaya alami pada wajah.",Normal
cyamopsis-tetragonoloba-gum,Cyamopsis Tetragonoloba Gum,Guar Gum,"viscosity controlling, emulsion stabilising","Cyamopsis Tetragonoloba Gum, yang lebih dikenal sebagai Guar Gum, adalah polisakarida alami yang diekstrak dari biji tanaman guar. Dalam produk perawatan kulit dan kosmetik, bahan ini berfungsi utama sebagai pengental, penstabil emulsi, dan agen pengikat yang membantu menyatukan fase minyak dan air agar formulasi tetap stabil. Selain memperbaiki tekstur dan viskositas produk, Guar Gum memiliki sifat hidroskopis yang mampu membentuk lapisan pelindung tipis di atas permukaan kulit atau rambut untuk mengunci kelembapan dan memberikan efek pengkondisian yang melembutkan. Karena berasal dari sumber nabati, bahan ini sering digunakan dalam formulasi kosmetik alami sebagai alternatif bahan sintetis untuk menciptakan tekstur yang halus dan meningkatkan daya sebar produk.",Normal
cycloastragenol,Cycloastragenol,,cell-communicating ingredient,"Cycloastragenol adalah senyawa triterpenoid alami yang diekstrak dari akar tanaman Astragalus membranaceus dan dikenal sebagai aktivator telomerase yang kuat. Dalam perawatan kulit, bahan ini berfungsi sebagai bahan komunikasi sel (cell-communicating ingredient) yang membantu memperlambat penuaan sel dengan cara memicu pemanjangan telomere, meningkatkan kapasitas regenerasi sel, dan memperbaiki tekstur kulit. Selain manfaat anti-penuaan, bahan ini juga memiliki sifat anti-inflamasi dan antioksidan yang efektif untuk menenangkan kulit serta mempercepat proses penyembuhan luka.",Normal
cyclohexasiloxane,Cyclohexasiloxane,,"emollient, solvent","Cyclohexasiloxane adalah silikon sintetis berbentuk cairan bening yang berfungsi sebagai emolien dan pelarut untuk meningkatkan tekstur serta memberikan sensasi halus pada kulit dan rambut. Bahan ini bersifat ringan, tidak berminyak, dan mudah menguap, sehingga sering digunakan sebagai zat pembawa (carrier) yang membantu penyebaran bahan aktif lain secara merata tanpa meninggalkan residu yang tebal. Selain mampu mengisi garis halus dan kerutan untuk memberikan tampilan kulit yang lebih mulus, Cyclohexasiloxane juga membentuk lapisan pelindung transparan (breathable barrier) yang membantu menjaga kelembapan serta menambah kilau pada rambut tanpa menyebabkan penumpukan. Karena teksturnya yang licin dan kemampuan penyebaran yang tinggi, bahan ini sangat populer dalam produk seperti pelembap, foundation, serum rambut, hingga produk antiperspiran.",Normal
cyclomethicone,Cyclomethicone,,emollient,"Cyclomethicone adalah campuran polimer silikon siklik yang sangat populer dalam produk perawatan pribadi karena teksturnya yang sangat ringan dan kemampuannya untuk menguap dengan cepat tanpa memberikan efek mendinginkan. Berfungsi utama sebagai emolien dan pelarut, bahan ini memberikan sensasi halus, licin, dan sutra pada kulit maupun rambut tanpa meninggalkan residu minyak atau rasa lengket. Karena daya sebarnya yang luar biasa, Cyclomethicone sering digunakan sebagai pembawa (carrier) untuk bahan aktif lain dalam produk seperti riasan wajah, deodoran, tabir surya, dan perawatan rambut guna memastikan aplikasi yang merata serta memberikan hasil akhir matte yang nyaman. Meskipun tidak memberikan hidrasi secara mendalam, bahan ini sangat efektif untuk memperbaiki estetika formula, mengurangi kekusutan rambut, dan memberikan efek penghalusan tekstur kulit sementara.",Normal
cyclopentasiloxane,Cyclopentasiloxane,,"emollient, solvent","Cyclopentasiloxane adalah jenis silikon cair yang sangat populer dalam produk perawatan wajah, tubuh, dan rambut karena teksturnya yang ringan, tidak berwarna, dan tidak berbau. Berfungsi utama sebagai emolien dan pelarut, bahan ini memberikan sensasi halus dan lembut (silky feel) serta meningkatkan daya sebar produk agar lebih mudah diaplikasikan secara merata tanpa rasa lengket. Sebagai silikon yang bersifat volatil, ia akan menguap dengan cepat dari permukaan kulit setelah diaplikasikan, sehingga membantu produk seperti tabir surya atau makeup lebih cepat kering dan memberikan hasil akhir yang matte. Meskipun membentuk lapisan pelindung yang membantu mengunci kelembapan dan mengurangi kekusutan pada rambut, bahan ini bersifat non-komedogenik sehingga aman untuk kulit berminyak dan tidak menyumbat pori-pori.",Normal
cyclotetrasiloxane,Cyclotetrasiloxane,,"emollient, solvent","Cyclotetrasiloxane, yang juga dikenal sebagai D4, adalah senyawa silikon siklik yang berfungsi sebagai pelarut dan emolien dalam berbagai produk perawatan pribadi. Bahan ini sangat dihargai karena sifatnya yang volatil (cepat menguap), sehingga mampu memberikan tekstur yang sangat ringan, halus, dan tidak lengket saat diaplikasikan pada kulit maupun rambut. Selain membantu penyebaran bahan aktif secara merata, ia juga membentuk lapisan pelindung tipis yang memberikan efek lembut seketika. Namun, penggunaan bahan ini kini mulai dibatasi di beberapa wilayah, seperti Uni Eropa, karena sifatnya yang sulit terurai di alam serta adanya kekhawatiran terkait potensi gangguan hormon dan kesehatan reproduksi pada paparan jangka panjang.",Normal
cypripedium-pubescens-extract,Cypripedium Pubescens Extract,Lady’s Slipper Orchid Extract,,"Cypripedium Pubescens Extract, yang juga dikenal sebagai Lady’s Slipper Orchid Extract, adalah bahan alami yang diekstrak dari akar anggrek Lady's Slipper yang berasal dari Amerika Utara. Dalam industri kosmetik, bahan ini berfungsi utama sebagai penyegar (tonic) dan pengkondisi kulit yang membantu menjaga serta memperbaiki tekstur kulit agar tetap lembut dan sehat. Secara tradisional, ekstrak ini dihargai karena sifat penenang (soothing) dan relaksasi yang dapat membantu menenangkan kulit sensitif atau teriritasi, serta memberikan sensasi kesegaran pada produk perawatan kulit seperti krim, losion, dan toner.",Normal
dmdm-hydantoin,DMDM Hydantoin,,preservative,"DMDM Hydantoin adalah bahan pengawet sintetis dan agen antimikroba spektrum luas yang sangat efektif untuk memperpanjang masa simpan produk kosmetik dan perawatan pribadi. Bahan ini bekerja sebagai ""donor formaldehida"", yang berarti ia melepaskan sejumlah kecil formaldehida secara bertahap untuk mencegah pertumbuhan bakteri, jamur, dan ragi yang dapat merusak produk, terutama dalam formula berbasis air seperti sampo, kondisioner, dan pelembap. Meskipun sangat stabil dan diakui aman dalam batas penggunaan tertentu oleh berbagai panel ahli kecantikan, DMDM Hydantoin dikenal sebagai alergen potensial yang dapat memicu dermatitis kontak pada individu yang sensitif terhadap formaldehida.",Normal
daucus-carota-sativa-root-extract,Daucus Carota Sativa Root Extract,Carrot Root Oil,"antioxidant, emollient","Daucus Carota Sativa (Carrot) Root Extract adalah bahan alami yang diekstrak dari akar wortel dan dikenal kaya akan antioksidan, vitamin (terutama A dan C), serta beta-karoten. Dalam perawatan kulit, bahan ini berfungsi sebagai agen pengkondisi kulit yang membantu melindungi dari stresor lingkungan, mempercepat regenerasi sel, dan mencerahkan warna kulit agar tampak lebih bercahaya. Selain memberikan hidrasi mendalam, ekstrak ini juga memiliki sifat menenangkan untuk mengurangi kemerahan serta sering digunakan dalam produk anti-aging untuk memperbaiki tekstur dan elastisitas kulit.",Normal
daucus-carota-sativa-seed-oil,Daucus Carota Sativa Seed Oil,Carrot Seed Oil,emollient,"Daucus Carota Sativa (Carrot) Seed Oil, yang lebih dikenal sebagai minyak biji wortel, adalah minyak botani yang diekstrak dari biji tanaman wortel liar (Daucus carota). Berfungsi utama sebagai emolien, minyak ini kaya akan antioksidan seperti vitamin A, C, E, dan beta-karoten yang membantu melindungi kulit dari stres oksidatif dan penuaan dini. Kandungan asam lemak esensialnya, seperti asam oleat dan linoleat, berperan penting dalam menghidrasi, meningkatkan elastisitas, serta memperkuat sawar kulit (skin barrier). Selain manfaat anti-penuaan yang membantu menyamarkan garis halus, minyak ini juga memiliki sifat antibakteri dan anti-inflamasi yang efektif untuk menenangkan kulit teriritasi serta mendukung kesehatan kulit kepala dan rambut.",Normal
decapeptide-22,Decapeptide-22,,cell-communicating ingredient,"Decapeptide-22 adalah peptida sintetis yang terdiri dari empat asam amino: arginin, glutamin, glisin, dan prolin. Dalam produk perawatan kulit, bahan ini berfungsi sebagai bahan komunikasi sel (cell-communicating ingredient) yang sering menjadi bagian dari kompleks peptida aktif untuk meningkatkan kepadatan dan kekencangan kulit. Bahan ini bekerja dengan cara merangsang mekanisme perbaikan alami kulit, membantu memperkuat struktur kulit yang matang, serta memberikan efek pengkondisian agar kulit tetap dalam keadaan baik.",Normal
decyl-glucoside,Decyl Glucoside,,"surfactant/cleansing, emulsion stabilising","Decyl Glucoside adalah surfaktan non-ionik berbahan dasar tanaman yang sangat lembut dan ramah lingkungan, yang dibuat dari reaksi antara glukosa tepung jagung dengan alkohol lemak dari kelapa atau palem. Berfungsi utama sebagai agen pembersih dan penstabil emulsi, bahan ini mampu menghasilkan busa yang kaya, stabil, dan mewah tanpa menyebabkan iritasi atau rasa kering pada kulit. Karena sifatnya yang biodegradable, non-toksik, dan sangat aman, Decyl Glucoside menjadi pilihan utama untuk produk perawatan kulit sensitif, produk bayi, serta sampo alami sebagai alternatif yang lebih lembut dibandingkan sulfat konvensional (SLS/SLES). Selain membersihkan kotoran dan minyak secara efektif, bahan ini juga membantu menjaga kelembapan alami dan kesehatan sawar kulit (skin barrier).",Normal
dehydroacetic-acid,Dehydroacetic Acid,Geogard 111A,preservative,"Dehydroacetic Acid, yang juga dikenal dengan nama dagang Geogard 111A, adalah senyawa organik yang berfungsi sebagai pengawet sintetis dalam produk kosmetik dan perawatan pribadi. Bahan ini sangat efektif dalam menghambat pertumbuhan mikroorganisme, terutama jamur dan ragi, sehingga menjaga stabilitas serta memperpanjang masa simpan produk. Karena sifatnya yang lembut dan efektif pada konsentrasi rendah, bahan ini sering digunakan sebagai alternatif pengawet yang lebih aman untuk menjaga integritas formula berbasis air seperti krim, losion, dan produk perawatan kulit lainnya.",Normal
dextrin,Dextrin,,"viscosity controlling, moisturizer/humectant, absorbent/mattifier","Dekstrin adalah kelompok karbohidrat berbobot molekul rendah yang dihasilkan dari hidrolisis pati alami, seperti singkong, jagung, atau gandum. Dalam industri kosmetik dan perawatan kulit, bahan ini berfungsi multifungsi sebagai pengatur kekentalan (viscosity controlling) untuk menciptakan tekstur produk yang stabil dan nyaman dioleskan. Selain itu, dekstrin berperan sebagai pelembap (humektan) yang membantu mengikat air pada lapisan kulit serta agen penyerap (absorbent) untuk memberikan efek mattifying. Karena sifatnya yang lembut dan hipoalergenik, bahan ini sering digunakan sebagai alternatif alami pengganti bahan sintetis dalam berbagai produk pencuci wajah, losion, dan masker.",Normal
diazolidinyl-urea,Diazolidinyl Urea,,preservative,"Diazolidinyl Urea adalah bahan pengawet antimikroba spektrum luas yang sangat efektif untuk melindungi produk berbasis air dari pertumbuhan bakteri, jamur, dan ragi. Bahan ini bekerja sebagai donor formaldehida, yang melepaskan formaldehida dalam jumlah kecil dan terkontrol untuk menjaga integritas serta keamanan produk selama masa simpan. Karena stabilitasnya pada berbagai rentang pH dan suhu tinggi, Diazolidinyl Urea sering digunakan dalam berbagai produk perawatan pribadi seperti losion, sampo, kondisioner, dan kosmetik. Meskipun dianggap aman oleh badan pengawas dalam konsentrasi hingga 0,5%, bahan ini dikenal sebagai alergen potensial yang dapat memicu dermatitis kontak pada individu yang sensitif.",Normal
dibutyl-adipate,Dibutyl Adipate,,"emollient, solvent","Dibutyl Adipate adalah senyawa ester sintetis yang jernih, tidak berwarna, dan tidak berbau yang berfungsi sebagai emolien, pelarut, dan agen pembentuk lapisan (film-former) dalam produk kosmetik. Bahan ini sangat populer dalam formula tabir surya karena kemampuannya yang luar biasa untuk melarutkan filter UV serta meningkatkan daya sebar produk tanpa meninggalkan rasa lengket atau berminyak. Selain memberikan tekstur yang ringan dan halus, Dibutyl Adipate membantu menjaga hidrasi dengan membentuk lapisan pelindung di atas kulit, menjadikannya ideal untuk produk pelembap dan riasan wajah. Karena sifatnya yang non-komedogenik dan lembut, bahan ini aman digunakan untuk berbagai jenis kulit, termasuk kulit berminyak dan sensitif, guna memberikan hasil akhir yang nyaman dan tampak sehat.",Normal
dibutyl-ethylhexanoyl-glutamide,Dibutyl Ethylhexanoyl Glutamide,,viscosity controlling,"Dibutyl Ethylhexanoyl Glutamide adalah bahan pengental (gelling agent) berbasis asam amino yang inovatif untuk fase minyak dalam produk kosmetik. Bahan ini berfungsi utama untuk menciptakan stik atau gel minyak yang bening dan transparan dengan tekstur yang kokoh namun tetap mudah diaplikasikan. Selain kemampuannya dalam mengontrol viskositas dan menstabilkan formula, bahan ini memberikan sensasi halus pada kulit tanpa rasa lengket, menjadikannya pilihan populer dalam produk seperti lipstik bening, deodoran stik, dan pembersih wajah berbasis minyak.",Normal
dibutyl-lauroyl-glutamide,Dibutyl Lauroyl Glutamide,,viscosity controlling,"Dibutyl Lauroyl Glutamide adalah bahan pengental minyak (oil gelling agent) berbasis asam amino yang diturunkan dari L-Glutamic acid. Bahan ini berfungsi untuk mengubah minyak cair menjadi gel transparan atau stik padat yang jernih, seperti pada lipstik, tabir surya stik, dan deodoran. Selain kemampuannya dalam mengontrol viskositas dan stabilitas emulsi, bahan ini memberikan sensasi halus dan tidak lengket pada kulit serta membantu mengurangi rasa berminyak dari formula produk. Karena sifatnya yang lembut dan hipoalergenik, bahan ini juga sering digunakan sebagai agen pengkondisi kulit dan rambut yang aman untuk kulit sensitif.",Normal
