Ingredient,Jenis Kulit Cocok,Alasan Jenis Kulit Cocok,Jenis Kulit Tidak Cocok,Alasan Jenis Kulit Tidak Cocok,Masalah Kulit Cocok,Alasan Masalah Kulit Cocok,Masalah Kulit Tidak Cocok,Alasan Masalah Kulit Tidak Cocok,Masalah Kulit Evidence Strength,Masalah Kulit Contraindication Strength,Jenis Kulit Contraindication Strength,Evidence Level / Catatan (Jenis Kulit)
Salicylic Acid,"Berminyak, Kombinasi",BHA yang larut minyak sehingga efektif bekerja di dalam pori dan membantu mengontrol sebum.,Kering,Dapat meningkatkan kekeringan apabila digunakan berlebihan pada kulit yang sudah kering.,"Berjerawat, PIH","Bersifat komedolitik, anti-inflamasi, membantu membuka pori tersumbat dan mengurangi bekas jerawat pascainflamasi.",Kemerahan,Dapat menyebabkan iritasi pada kulit dengan skin barrier yang sedang terganggu.,Berjerawat: Primary; PIH: Supportive,Kemerahan: Moderate,Kering: Moderate,BHA keratolitik; efek kering/deskuamasi terdokumentasi baik namun sangat bergantung konsentrasi dan frekuensi pemakaian.
Arginine,"Normal, Berminyak, Kering, Kombinasi",Asam amino yang membantu menjaga hidrasi dan mendukung fungsi skin barrier.,-,-,Kemerahan,Mendukung regenerasi kulit dan membantu proses penyembuhan.,-,-,Kemerahan: Supportive,-,,
Cetearyl Alcohol,"Normal, Kering, Kombinasi",Fatty alcohol yang berfungsi sebagai emollient sehingga membantu menjaga kelembapan kulit.,Berminyak,Pada kulit yang sangat berminyak dapat terasa lebih berat.,Kemerahan,Membantu memperbaiki skin barrier dan mengurangi kehilangan air.,-,-,Kemerahan: Supportive,-,Berminyak: Low,"Campuran fatty alcohol (cetyl+stearyl), emolien; bukan simple alcohol, potensi komedogenik teoritis dan rendah."
Tocopherol,"Normal, Berminyak, Kering, Kombinasi",Vitamin E alami yang berfungsi sebagai antioksidan dan melindungi kulit dari stres oksidatif.,-,-,"Aging, Kusam, PIH",Membantu melindungi kulit dari radikal bebas dan mendukung regenerasi kulit.,-,-,Aging: Supportive; Kusam: Supportive; PIH: Supportive,-,,
Ascorbic Acid,"Normal, Berminyak, Kombinasi",Vitamin C murni yang berfungsi sebagai antioksidan dan membantu sintesis kolagen.,Kering,pH yang rendah dapat menyebabkan rasa perih atau iritasi pada kulit yang sangat kering atau skin barrier terganggu.,"PIH, Kusam, Aging","Menghambat pembentukan melanin, meningkatkan produksi kolagen, dan melindungi kulit dari radikal bebas.",Kemerahan,"Pada sebagian individu dapat menyebabkan sensasi menyengat atau iritasi, terutama pada konsentrasi tinggi.",PIH: Primary; Kusam: Primary; Aging: Primary,Kemerahan: Moderate,Kering: Moderate,"L-ascorbic acid berpH rendah (~3.5); potensi stinging/iritasi terdokumentasi, terutama pada konsentrasi tinggi."
Cholesterol,"Normal, Berminyak, Kering, Kombinasi",Komponen alami skin barrier yang bekerja sinergis dengan ceramide dan asam lemak untuk menjaga kelembapan kulit.,-,-,"Berjerawat, PIE, Kemerahan",Membantu memperbaiki skin barrier dan mengurangi kehilangan air.,-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Phytosphingosine,"Normal, Berminyak, Kering, Kombinasi",Lipid alami kulit yang berperan dalam pembentukan ceramide dan menjaga skin barrier.,-,-,"Berjerawat, PIE, Kemerahan","Memiliki aktivitas antimikroba ringan, anti-inflamasi, dan membantu memperbaiki skin barrier.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Tranexamic Acid,"Normal, Berminyak, Kering, Kombinasi",Umumnya ditoleransi dengan baik oleh berbagai jenis kulit dan tidak mengganggu skin barrier.,-,-,"PIH, PIE, Kusam","Menghambat jalur pembentukan melanin melalui inhibisi plasmin sehingga efektif membantu mengurangi hiperpigmentasi pascainflamasi (PIH), membantu meredakan kemerahan pascainflamasi (PIE), dan mencerahkan kulit kusam.",-,-,PIH: Primary; PIE: Supportive; Kusam: Supportive,-,,
Amino Acid,"Normal, Berminyak, Kering, Kombinasi",Asam amino merupakan bagian dari Natural Moisturizing Factor (NMF) yang membantu mempertahankan hidrasi dan fungsi skin barrier.,-,-,Kemerahan,"Membantu menjaga hidrasi, mendukung perbaikan skin barrier, dan mengurangi kehilangan air sehingga kulit lebih sehat dan nyaman.",-,-,Kemerahan: Supportive,-,,
Pantolactone,"Normal, Berminyak, Kering, Kombinasi",Turunan panthenol yang berfungsi sebagai humectant dan skin conditioning agent sehingga membantu menjaga kelembapan serta mendukung fungsi skin barrier.,-,-,Kemerahan,Membantu meningkatkan hidrasi kulit dan mendukung pemulihan skin barrier sehingga kulit terasa lebih nyaman dan tampak lebih sehat.,-,-,Kemerahan: Supportive,-,,
Sodium Lauroyl Sarcosinate,"Normal, Berminyak, Kering, Kombinasi",Surfactant anionik yang tergolong lembut dan membantu membersihkan kulit tanpa banyak mengganggu skin barrier.,-,-,-,-,-,-,-,-,,
Allantoin,"Normal, Berminyak, Kering, Kombinasi",Skin protectant yang membantu menjaga kelembapan dan mendukung pemulihan skin barrier sehingga cocok untuk semua jenis kulit.,-,-,"Berjerawat, PIE, Kemerahan","Memiliki efek soothing, membantu mengurangi iritasi, dan mendukung regenerasi kulit sehingga bermanfaat pada kulit yang mengalami inflamasi ringan.",-,-,Berjerawat: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Alpha-Arbutin,"Normal, Berminyak, Kering, Kombinasi",Umumnya ditoleransi dengan baik oleh berbagai jenis kulit dan memiliki risiko iritasi yang rendah.,-,-,"PIH, Kusam",Menghambat aktivitas enzim tirosinase sehingga membantu mengurangi hiperpigmentasi dan mencerahkan warna kulit.,-,-,PIH: Primary; Kusam: Supportive,-,,
Glutathione,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang membantu melindungi kulit dari stres oksidatif dan umumnya aman digunakan pada berbagai jenis kulit.,-,-,"PIH, Kusam",Membantu mengurangi pembentukan melanin melalui mekanisme antioksidan dan mendukung perlindungan kulit terhadap radikal bebas.,-,-,PIH: Supportive; Kusam: Supportive,-,,
Honey / Mel,"Normal, Berminyak, Kering, Kombinasi",Humectant alami yang membantu mempertahankan kelembapan kulit serta memiliki aktivitas antimikroba dan antioksidan ringan.,-,-,"Berjerawat, Kemerahan, Kusam","Membantu menjaga hidrasi kulit, menenangkan inflamasi ringan, serta mendukung proses penyembuhan dan perlindungan dari radikal bebas.",-,-,Berjerawat: Supportive; Kemerahan: Supportive; Kusam: Supportive,-,,
Dimethicone,"Normal, Berminyak, Kering, Kombinasi",Silicone-based skin protectant yang membentuk lapisan pelindung untuk mengurangi kehilangan air tanpa bersifat komedogenik pada sebagian besar kulit.,-,-,Kemerahan,"Membantu memperbaiki skin barrier, mengurangi TEWL (Transepidermal Water Loss), dan menjaga kelembapan kulit.",-,-,Kemerahan: Supportive,-,,
Vitamin C / Ascorbic Acid,"Normal, Berminyak, Kombinasi",Antioksidan yang membantu melindungi kulit dari radikal bebas dan umumnya ditoleransi baik oleh sebagian besar jenis kulit.,Kering,Pada formulasi dengan pH rendah atau konsentrasi tinggi dapat menyebabkan rasa perih dan iritasi pada kulit yang sangat kering atau skin barrier terganggu.,"PIH, Kusam, Aging","Membantu menghambat enzim tirosinase sehingga mengurangi hiperpigmentasi, meningkatkan sintesis kolagen, dan melindungi kulit dari stres oksidatif.",Kemerahan,"Pada sebagian individu dapat menyebabkan sensasi menyengat atau iritasi, terutama pada konsentrasi tinggi atau kulit sensitif.",PIH: Primary; Kusam: Primary; Aging: Primary,Kemerahan: Moderate,Kering: Moderate,Sama seperti Ascorbic Acid.
Vitamin E / Tocopherol,"Normal, Berminyak, Kering, Kombinasi",Antioksidan yang membantu melindungi kulit dari kerusakan akibat radikal bebas serta mendukung fungsi skin barrier.,-,-,"Aging, Kusam, PIH","Membantu mengurangi stres oksidatif, menjaga kelembapan kulit, dan mendukung proses regenerasi kulit.",-,-,Aging: Supportive; Kusam: Supportive; PIH: Supportive,-,,
Olive Oil / Olea Europaea Fruit Oil,"Normal, Kering, Kombinasi",Kaya akan asam lemak dan antioksidan sehingga membantu melembapkan dan memperbaiki skin barrier.,Berminyak,Pada kulit yang sangat berminyak atau acne-prone dapat terasa terlalu oklusif dan meningkatkan risiko pori tersumbat pada sebagian individu.,Kusam,"Membantu meningkatkan kelembapan, elastisitas, dan kelembutan kulit.",Berjerawat,Pada sebagian individu acne-prone dapat memperburuk komedo atau pori tersumbat karena sifatnya yang cukup oklusif.,Kusam: Supportive,Berjerawat: Moderate,Berminyak: Moderate,Kandungan oleic acid tinggi terdokumentasi mengganggu fungsi barrier (mis. studi Danby et al.) dan memiliki potensi komedogenik moderat pada tabel klasik.
Rosemary Oil / Rosmarinus Officinalis Leaf Oil,-,-,"Normal, Berminyak, Kering, Kombinasi","Essential oil yang mengandung senyawa aromatik seperti camphor, cineole, dan limonene yang berpotensi menyebabkan iritasi atau sensitisasi.",-,-,"Kemerahan, PIE, PIH","Berpotensi memicu iritasi, sensasi terbakar, atau memperburuk inflamasi pada kulit sensitif maupun kulit dengan skin barrier yang terganggu. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Minyak esensial dengan komponen alergenik (mis. linalool); risikonya generalis alergi, bukan spesifik fisiologi jenis kulit."
Olive Oil PEG-7 Esters,"Normal, Kering, Kombinasi",Emollient yang membantu menjaga kelembapan kulit dengan tekstur lebih ringan dibanding olive oil murni.,Berminyak,Pada kulit yang sangat berminyak dapat terasa lebih kaya meskipun lebih ringan dibanding minyak zaitun murni.,Kusam,Membantu melembapkan kulit dan memperbaiki tekstur permukaan kulit.,-,-,Kusam: Supportive,-,Berminyak: Low,"Bentuk ester PEGylated dari olive oil; komedogenisitas diperkirakan lebih rendah dari minyak murni, evidence langsung terbatas."
Kaolin,"Berminyak, Kombinasi",Clay yang menyerap sebum berlebih dan membantu membersihkan pori-pori.,Kering,Dapat menyerap terlalu banyak minyak sehingga memperparah kekeringan kulit.,Berjerawat,Membantu mengurangi minyak berlebih yang dapat memicu penyumbatan pori.,Kemerahan,Penggunaan berlebihan dapat menyebabkan kulit terasa kering dan memperburuk iritasi.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Moderate,Clay penyerap minyak/kelembapan; penggunaan berulang terdokumentasi dalam literatur kosmetik dapat menyebabkan over-drying.
Silica,"Berminyak, Kombinasi",Menyerap minyak berlebih sehingga kulit terasa lebih matte.,Kering,Dapat membuat kulit terasa lebih kering apabila digunakan berlebihan.,Berjerawat,Membantu mengontrol minyak berlebih sehingga mendukung perawatan kulit berminyak yang rentan berjerawat.,Kemerahan,Penggunaan berlebihan dapat meningkatkan rasa kering pada kulit yang mengalami inflamasi.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Low,Agen mattifying/penyerap minyak yang lebih ringan dari clay; evidence spesifik untuk efek kering terbatas pada level formulasi umum.
Isomalt,"Normal, Berminyak, Kering, Kombinasi",Humectant dan skin conditioning agent yang membantu mempertahankan kelembapan kulit.,-,-,Kusam,Membantu menjaga hidrasi sehingga kulit tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Vaccinium Macrocarpon (Cranberry) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan sehingga cocok untuk berbagai jenis kulit.,-,-,"Kusam, PIH",Membantu melindungi kulit dari radikal bebas dan mendukung tampilan kulit lebih cerah.,-,-,Kusam: Supportive; PIH: Supportive,-,,
Euterpe Oleracea (Açaí) Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung polifenol dan antioksidan yang membantu melindungi kulit dari stres oksidatif.,-,-,Kusam,Membantu mengurangi kerusakan akibat radikal bebas dan menjaga kesehatan kulit.,-,-,Kusam: Supportive,-,,
Callicarpa Japonica Fruit Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak tumbuhan yang memiliki aktivitas antioksidan dan skin conditioning.,-,-,Kusam,Membantu melindungi kulit dari stres oksidatif dan menjaga kondisi kulit.,-,-,Kusam: Supportive,-,,
Lycium Barbarum Callus Culture Extract,"Normal, Berminyak, Kering, Kombinasi",Ekstrak kultur sel goji yang kaya antioksidan dan membantu menjaga kesehatan kulit.,-,-,Kusam,Membantu melindungi kulit dari radikal bebas dan mendukung vitalitas kulit.,-,-,Kusam: Supportive,-,,
Sodium Lauryl Sulfate (SLS),Berminyak,Surfactant anionik yang sangat efektif mengangkat minyak dan kotoran.,"Kering, Kombinasi",Dapat menghilangkan lipid alami kulit sehingga meningkatkan TEWL dan merusak skin barrier.,-,-,"Kemerahan, Aging",Memiliki potensi iritasi yang tinggi sehingga dapat memperburuk inflamasi dan kekeringan kulit.,-,Kemerahan: Moderate; Aging: Low,Kering: High; Kombinasi: Moderate,"Surfaktan anionik yang paling banyak diteliti; digunakan sebagai kontrol iritan standar pada uji patch dermatologi (soap chamber test), terdokumentasi konsisten meningkatkan TEWL."
Sekken Soji,Berminyak,Soap base yang efektif membersihkan minyak dan kotoran.,"Kering, Kombinasi",Sabun dengan pH tinggi dapat mengganggu skin barrier dan meningkatkan kekeringan kulit.,-,-,Kemerahan,pH alkalis dapat memperburuk iritasi pada kulit yang sedang meradang.,-,Kemerahan: Low,,Istilah non-INCI standar (kemungkinan basis sabun pasar Jepang); komposisi pastinya tidak dapat diverifikasi.
Potassium Laureth Phosphate,"Normal, Berminyak, Kering, Kombinasi",Surfactant yang relatif lembut dan membantu membersihkan kulit dengan tetap menjaga kenyamanan kulit.,-,-,-,-,-,-,-,-,,
Cocamide MEA,"Normal, Berminyak, Kombinasi",Foam booster dan surfactant yang membantu meningkatkan kemampuan pembersihan produk.,Kering,Penggunaan dalam cleanser dapat meningkatkan rasa kering pada kulit yang sudah kering.,-,-,Kemerahan,Dapat menyebabkan iritasi ringan pada kulit yang sensitif atau skin barrier yang terganggu.,-,Kemerahan: Moderate,Kering: Low,"Foam booster turunan amida asam lemak kelapa; lebih ringan dari asam lemak murni, evidence langsung untuk efek kering terbatas."
Mentha Arvensis Leaf Oil,-,-,"Normal, Berminyak, Kering, Kombinasi",Essential oil yang mengandung menthol alami sehingga berpotensi menyebabkan iritasi dan sensitisasi pada semua jenis kulit.,-,-,"Kemerahan, PIE, PIH","Dapat memperburuk inflamasi dan memicu sensasi menyengat pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Minyak esensial kaya menthol dengan potensi alergenik/sensitisasi; risiko generalis, bukan spesifik jenis kulit."
Glycolic Acid,"Berminyak, Kombinasi",AHA yang membantu eksfoliasi permukaan kulit dan memperbaiki tekstur kulit.,Kering,Dapat meningkatkan kekeringan dan sensitivitas apabila digunakan pada kulit yang sudah kering atau skin barrier terganggu.,"Berjerawat, PIH, Kusam, Aging","Mempercepat pergantian sel kulit, membantu memudarkan hiperpigmentasi, memperbaiki tekstur kulit, dan merangsang sintesis kolagen.",Kemerahan,Dapat menyebabkan iritasi pada kulit yang sedang mengalami inflamasi atau sensitif.,Berjerawat: Supportive; PIH: Supportive; Kusam: Primary; Aging: Primary,Kemerahan: Low,Kering: Moderate,AHA; iritasi dan peningkatan TEWL terdokumentasi baik namun sangat bergantung konsentrasi dan pH formulasi.
Volcanic Soil,"Berminyak, Kombinasi",Mineral alami yang membantu menyerap minyak berlebih dan membersihkan pori-pori.,Kering,Dapat menyerap terlalu banyak minyak sehingga kulit menjadi lebih kering.,Berjerawat,Membantu mengurangi minyak berlebih dan membersihkan pori-pori.,Kemerahan,Penggunaan berlebihan dapat memperburuk kekeringan dan iritasi.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Low,Mineral clay-like yang diasumsikan memiliki efek penyerap mirip clay lain; evidence spesifik terpublikasi masih terbatas.
Moringa Oleifera Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan dan senyawa bioaktif yang membantu melindungi kulit.,-,-,"Kusam, Kemerahan",Memiliki aktivitas antioksidan dan anti-inflamasi yang membantu menjaga kesehatan kulit.,-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Histidine,"Normal, Berminyak, Kering, Kombinasi",Asam amino yang merupakan bagian dari Natural Moisturizing Factor (NMF) sehingga membantu menjaga hidrasi kulit.,-,-,Kemerahan,Membantu menjaga fungsi skin barrier dan mengurangi stres oksidatif.,-,-,Kemerahan: Supportive,-,,
Serine,"Normal, Berminyak, Kering, Kombinasi",Asam amino penyusun NMF yang membantu mempertahankan kelembapan kulit.,-,-,Kemerahan,Membantu menjaga hidrasi kulit dan mendukung fungsi skin barrier.,-,-,Kemerahan: Supportive,-,,
Aspartic Acid,"Normal, Berminyak, Kering, Kombinasi",Asam amino yang membantu menjaga keseimbangan kelembapan kulit.,-,-,-,-,-,-,-,-,,
Threonine,"Normal, Berminyak, Kering, Kombinasi",Asam amino yang membantu mempertahankan kelembapan dan kondisi kulit.,-,-,-,-,-,-,-,-,,
Sodium Acetylated Hyaluronate,"Normal, Berminyak, Kering, Kombinasi",Turunan hyaluronic acid dengan afinitas tinggi terhadap kulit sehingga memberikan hidrasi yang lebih tahan lama.,-,-,"Kusam, PIE, Kemerahan",Membantu meningkatkan hidrasi dan memperbaiki skin barrier.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Sodium Hyaluronate Crosspolymer,"Normal, Berminyak, Kering, Kombinasi",Bentuk crosslinked hyaluronic acid yang memberikan hidrasi lebih lama dibanding sodium hyaluronate biasa.,-,-,"Kusam, PIE, Kemerahan",Membantu menjaga kelembapan kulit dalam waktu yang lebih lama.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Hydrolyzed Sodium Hyaluronate,"Normal, Berminyak, Kering, Kombinasi",Memiliki ukuran molekul lebih kecil sehingga membantu hidrasi pada lapisan kulit yang lebih dalam.,-,-,"Kusam, PIE, Kemerahan",Membantu meningkatkan hidrasi dan memperbaiki elastisitas kulit.,-,-,Kusam: Supportive; PIE: Supportive; Kemerahan: Supportive,-,,
Sorbitol,"Normal, Berminyak, Kering, Kombinasi",Humectant yang membantu menarik dan mempertahankan air pada kulit sehingga menjaga kelembapan.,-,-,Kusam,Membantu meningkatkan hidrasi kulit sehingga kulit terasa lebih halus dan tampak lebih sehat.,-,-,Kusam: Supportive,-,,
Pumice,"Berminyak, Kombinasi",Partikel abrasif alami yang membantu mengangkat sel kulit mati dan minyak berlebih.,Kering,Eksfoliasi fisik dapat memperburuk kekeringan pada kulit yang sudah kering.,Kusam,Membantu mengangkat sel kulit mati sehingga kulit tampak lebih cerah.,"Kemerahan, Berjerawat",Gesekan mekanis dapat memperparah inflamasi pada kulit berjerawat aktif atau kulit yang sedang mengalami kemerahan.,Kusam: Supportive,Kemerahan: Moderate; Berjerawat: Low,Kering: Low,Eksfolian fisik/abrasif; potensi micro-abrasion pada kulit kering bersifat teoritis dan tergantung ukuran partikel.
Sodium Dehydroacetate,-,-,-,-,-,-,-,Pengawet dengan profil keamanan yang baik pada konsentrasi kosmetik sehingga tidak memiliki hubungan langsung dengan kategori kulit pada dataset ini.,-,-,,
Perlite,"Berminyak, Kombinasi",Mineral berpori yang efektif menyerap minyak berlebih dan memberikan efek matte.,Kering,Dapat menyerap terlalu banyak minyak sehingga memperparah kulit kering.,Berjerawat,Membantu mengurangi minyak berlebih yang dapat berkontribusi terhadap penyumbatan pori.,Kemerahan,Penggunaan berlebihan dapat meningkatkan rasa kering pada kulit yang sedang mengalami inflamasi.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Low,"Eksfolian fisik mirip pumice; evidence spesifik terbatas, bergantung ukuran partikel dan frekuensi pemakaian."
Ascorbyl Glucoside,"Normal, Berminyak, Kering, Kombinasi",Turunan Vitamin C yang stabil dan umumnya memiliki toleransi kulit yang baik.,-,-,"PIH, Kusam, Aging","Membantu menghambat pembentukan melanin, mencerahkan kulit, meningkatkan sintesis kolagen, dan memberikan perlindungan antioksidan.",-,-,PIH: Supportive; Kusam: Supportive; Aging: Supportive,-,,
Charcoal Powder,"Berminyak, Kombinasi",Membantu menyerap sebum dan kotoran pada permukaan kulit.,Kering,Dapat menyebabkan kulit terasa lebih kering apabila digunakan terlalu sering.,Berjerawat,Membantu mengurangi minyak berlebih dan membersihkan pori-pori.,Kemerahan,Penggunaan berlebihan dapat memperburuk kulit yang sedang mengalami iritasi atau skin barrier terganggu.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Low,"Agen penyerap; potensi efek kering ada namun evidence klinis spesifik masih terbatas, banyak klaim berbasis marketing."
Linalool,-,-,"Normal, Berminyak, Kering, Kombinasi",Komponen fragrance yang dikenal sebagai alergen kontak pada sebagian individu.,-,-,"Kemerahan, PIE, PIH","Berpotensi menyebabkan sensitisasi dan memperburuk inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Salah satu fragrance allergen yang paling banyak didokumentasikan (oksidasinya bersifat sensitisasi); risiko generalis alergi, bukan spesifik jenis kulit."
Limonene,-,-,"Normal, Berminyak, Kering, Kombinasi",Komponen fragrance yang mudah teroksidasi sehingga dapat meningkatkan risiko alergi kontak.,-,-,"Kemerahan, PIE, PIH","Dapat memicu iritasi dan memperburuk inflamasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Fragrance allergen terdokumentasi (oksidasi limonene meningkatkan potensi sensitisasi); risiko generalis, bukan spesifik jenis kulit."
Hexyl Cinnamal,-,-,"Normal, Berminyak, Kering, Kombinasi",Komponen fragrance yang termasuk alergen kosmetik yang umum dikenali.,-,-,"Kemerahan, PIE, PIH","Berpotensi menyebabkan reaksi alergi atau iritasi pada kulit sensitif. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,Fragrance allergen yang termasuk dalam daftar alergen wajib label EU; risiko generalis alergi.
Benzyl Salicylate,-,-,"Normal, Berminyak, Kering, Kombinasi",Komponen fragrance yang dapat menyebabkan sensitisasi pada sebagian individu.,-,-,"Kemerahan, PIE, PIH","Berpotensi memperburuk iritasi atau dermatitis kontak. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Fragrance allergen EU; risiko generalis alergi, bukan spesifik jenis kulit."
Benzyl Alcohol,-,-,"Normal, Berminyak, Kering, Kombinasi",Berfungsi sebagai fragrance component dan preservative dengan potensi iritasi pada sebagian individu.,-,-,"Kemerahan, PIE, PIH","Dapat menyebabkan rasa perih atau iritasi terutama pada kulit sensitif atau skin barrier yang terganggu. Iritasi/inflamasi yang ditimbulkan juga berisiko memicu hiperpigmentasi pasca-inflamasi (PIH), terutama pada kulit dengan skin tone medium-gelap.",-,Kemerahan: Moderate; PIE: Low; PIH: Low,,"Berfungsi ganda sebagai preservative dan fragrance allergen; potensi iritasi ada namun mekanisme utamanya alergi/sensitisasi, bukan spesifik fisiologi jenis kulit."
Lauryl Phosphate,"Normal, Berminyak, Kering, Kombinasi",Surfactant anionik yang relatif lembut dan membantu membersihkan kulit tanpa banyak mengganggu skin barrier.,-,-,-,-,-,-,-,-,,
O-Cymen-5-Ol (Isopropyl Methylphenol),"Normal, Berminyak, Kering, Kombinasi",Memiliki aktivitas antimikroba dan umumnya dapat digunakan pada berbagai jenis kulit.,-,-,Berjerawat,"Bersifat antimikroba sehingga membantu menghambat pertumbuhan bakteri yang berperan dalam jerawat, termasuk Cutibacterium acnes.",Kemerahan,"Pada sebagian individu dapat menyebabkan iritasi ringan, terutama jika skin barrier sedang terganggu.",Berjerawat: Supportive,Kemerahan: Moderate,,
Benzophenone-4,-,-,-,-,-,-,Kemerahan,"UV filter yang pada sebagian individu dapat menyebabkan iritasi atau dermatitis kontak, meskipun umumnya aman pada konsentrasi kosmetik.",-,Kemerahan: Moderate,,
Butylated Hydroxytoluene (BHT),-,-,-,-,-,-,-,Antioksidan untuk stabilitas formulasi. Pada konsentrasi kosmetik tidak memiliki manfaat maupun risiko langsung yang cukup kuat terhadap kategori kulit dalam dataset ini.,-,-,,
Hydrated Silica,"Berminyak, Kombinasi",Menyerap minyak berlebih dan membantu membersihkan permukaan kulit.,Kering,Dapat meningkatkan rasa kering apabila digunakan terlalu sering.,Berjerawat,Membantu mengurangi minyak berlebih yang dapat berkontribusi terhadap penyumbatan pori.,Kemerahan,Penggunaan berlebihan dapat memperburuk iritasi pada kulit dengan skin barrier yang terganggu.,Berjerawat: Supportive,Kemerahan: Moderate,Kering: Low,Sama seperti Silica; agen mattifying/abrasif ringan.
Sodium Lactate,"Normal, Berminyak, Kering, Kombinasi",Humectant alami sekaligus komponen Natural Moisturizing Factor (NMF) yang membantu mempertahankan hidrasi kulit.,-,-,"Kusam, Kemerahan","Membantu menjaga kelembapan, memperbaiki skin barrier, dan meningkatkan elastisitas kulit.",-,-,Kusam: Supportive; Kemerahan: Supportive,-,,
Coffea Arabica (Coffee) Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Kaya antioksidan seperti polifenol dan kafein yang membantu melindungi kulit dari radikal bebas.,-,-,Kusam,Membantu mengurangi stres oksidatif dan menjaga kesehatan kulit sehingga kulit tampak lebih segar.,-,-,Kusam: Supportive,-,,
Coffea Robusta Seed Extract,"Normal, Berminyak, Kering, Kombinasi",Mengandung antioksidan dan senyawa bioaktif yang membantu melindungi kulit dari kerusakan akibat radikal bebas.,-,-,Kusam,Membantu melindungi kulit dari stres oksidatif dan mendukung tampilan kulit yang lebih sehat.,-,-,Kusam: Supportive,-,,
Lactic Acid,"Normal, Kering, Kombinasi",AHA yang juga bersifat humectant sehingga lebih lembut dibanding beberapa AHA lain dan membantu meningkatkan hidrasi kulit.,Berminyak,Pada konsentrasi tinggi dapat meningkatkan sensitivitas atau iritasi pada sebagian kulit berminyak yang sedang mengalami inflamasi.,"PIH, Kusam, Aging","Membantu eksfoliasi sel kulit mati, meningkatkan pergantian sel kulit, serta merangsang pembentukan kolagen.",Kemerahan,Dapat menyebabkan rasa perih atau iritasi pada kulit yang sedang mengalami inflamasi atau skin barrier yang terganggu.,PIH: Supportive; Kusam: Primary; Aging: Primary,Kemerahan: Low,,AHA yang relatif ringan dan higroskopis; evidence bahwa lactic acid secara aktif merugikan kulit berminyak masih lemah — tampaknya lebih soal preferensi formulasi (kurang cocok untuk kontrol minyak) daripada kontraindikasi.
Citrus Medica Limonum (Lemon) Fruit Extract,"Normal, Berminyak, Kombinasi","Mengandung vitamin C alami, flavonoid, dan antioksidan yang membantu menyegarkan serta mencerahkan kulit.",Kering,Kandungan asam organik dan komponen sitrus dapat meningkatkan rasa kering atau iritasi pada kulit yang skin barrier-nya lemah.,"PIH, Kusam",Membantu mencerahkan kulit dan mengurangi hiperpigmentasi melalui aktivitas antioksidan dan penghambatan pembentukan melanin.,Kemerahan,Komponen sitrus dapat memicu iritasi pada kulit sensitif atau yang sedang mengalami inflamasi.,PIH: Supportive; Kusam: Supportive,Kemerahan: Low,Kering: Low,Ekstrak sitrus asam dengan potensi astringent ringan; evidence spesifik untuk efek kering terbatas.
